본문,해쉬태그
".[풀무원- 바른 먹거리 교육] 3-5학년 엄마들이 좋아하는 교육. 🤗영양소의 종류도 이참에 확실히 알고, 판매되는 제품들의 성분분석도 해 볼 수 있었던 깨알같은 수업~집밥이 제일 건강한 먹거리라는 결론. 🤔😉#0428 #juneha #풀무원바른먹거리 2021.04.21  04.28 🕒","['0428', 'juneha', '풀무원바른먹거리']"
"💕풀무원 바른 먹거리 온라인 비대면 교육💕1차시/2월17일2차시/2월24일풀무원 바른 먹거리에서 초등학교 3,4,5학년 대상으로 올바른 식습관과 211식사법으로 골고루 잘먹는 영양균형교육 그리고 식품포장지 확인하는법과 식품표시 확인교육을 2차시에 걸쳐서 온라인으로 진행해 주셨어요~^^엄마가 요리해주면 몸에 좋은거다 생각하며 먹는데만 집중했던 딸이 1차시 교육을 통해 탄수화물 단백질 지방 비타민 무기질 5대 영양소에는 어떤 식재료와 식품들이 있는지 구분하는 눈이 생겼고 목이 마르면 마셨던 물은 우리몸에 꼭 필요하며 영양소를 운반하고 체온을 조절해주니 자주 마시겠다고 얘기해주네요~♡2차시 교육에서는 식품을 고를땐 무엇을 보고 선택하는지 알아보고 챌이 준비한 과자봉지를 보며사용된재료와 식품첨가물도 살펴보고 식품만들기가 완성된 제조일자와 식품이 만들어진날부터 판매할수있는날인 유통기한 그리고 식품에 들어있는 영양소가 적힌 영양성분까지 학습할수 있는 유익한 시간이었어요~^^자라나는 아이들에게 올바른 식습관과 바른먹거리를 선택할 수있도록 교육해주신 풀무원 바른먹거리 관계자분들 너무너무 감사합니다.♥️👏👍#풀무원 #풀무원바른먹거리 #바른먹거리교육 #비대면교육 #초등집콕생활 @pulmuonefoundation","['풀무원', '풀무원바른먹거리', '바른먹거리교육', '비대면교육', '초등집콕생활']"
#저녁메뉴...우리집 풀무원사랑💚..#풀무원바른먹거리#푸드머스#스틱피쉬커틀렛,"['저녁메뉴', '풀무원바른먹거리', '푸드머스', '스틱피쉬커틀렛']"
#딸기야🍓🍓🍓🍓🍓⁣⁣출동! 딸기밭으로~~~~⁣친구들이 너무나 기다렸던⁣노랑차 타는 날🚍⁣비록 5분도 채 못 타고 도착 했지만⁣여기 이 곳 딸기밭엔 ⁣행복미소 친구들뿐👶🏻🧒👧⁣주렁주렁 달린 빠알간 딸기~⁣통에 쏙쏙 담아 양손에 꼭 쥐고⁣갑니다😉⁣⁣#딸기밭견학⁣#우리밖에없어요🤭⁣#오늘도 #행복미소최고👍⁣,"['딸기야', '딸기밭견학', '우리밖에없어요', '오늘도', '행복미소최고']"
#친구들모여라👶🏻👧🏻🧒🏻⁣⁣행복미소 어린이집에서⁣2021년도 신입원아를 모집합니다⁣궁금하신 점 문의 주세요😊⁣⁣#포항 #연일 #가정어린이집#49평 #11월 #가을 #효자 #유강#행복한아가들 #풀무원바른먹거리#풀무원푸드머스 #건강한어린이#튼튼한어린이 #최고선생님💕#얼집스타그램 #얼집 #원아모집중이에요✌️,"['친구들모여라', '포항', '연일', '가정어린이집', '49평', '11월', '가을', '효자', '유강', '행복한아가들', '풀무원바른먹거리', '풀무원푸드머스', '건강한어린이', '튼튼한어린이', '최고선생님', '얼집스타그램', '얼집', '원아모집중이에요']"
#풀무원 #풀무원교육 #풀무원바른먹거리 #풀무원바른먹거리교육 #바른먹거리교육 #초등온라인수업 #초등겨울방학 #집콕 #슬기로운집콕생활 풀무원 바른 먹거리 교육그저 먹는 게 좋은 꼬맹이...쫌 알고 먹자고 신청한 바른먹거리교육설명으로 음식 맞추기 혼자 다 맞췄다며 좋아하고...역시 먹는 건ㅋㅋㅋ유통기한과 식품첨가물도 배우고수업 다 듣고 냉장고에서 음료꺼내고과자봉투 쳐다보며 몸에 안 좋은 거라며 잔소리도 하고ㅎㅎㅎ좋은 교육 감사합니다^^,"['풀무원', '풀무원교육', '풀무원바른먹거리', '풀무원바른먹거리교육', '바른먹거리교육', '초등온라인수업', '초등겨울방학', '집콕', '슬기로운집콕생활']"
..풀무원 달걀농장 체험중~😘..#오한결#풀무원바른먹거리 #키자니아서울 #달걀농장체험중#친환경농부가되어보아요💕#아역배우,"['오한결', '풀무원바른먹거리', '키자니아서울', '달걀농장체험중', '친환경농부가되어보아요', '아역배우']"
#21년새학기이야기⁣⁣3월👶🏻🧒👧⁣신학기 시작한지 벌써 3주차❤⁣⁣우리 예쁜반.햇님반.미소반 친구들⁣새로운 교실에서 적응완료!!⁣그 기념으로 어린이집 소식 전해요⁣⁣여전한 #바른먹거리 풀무원⁣🥦🥬🥒🍅🥕🥔🌶🍄🧅⁣아침마다 신선하고 안전하게⁣배송되어 맛있는 급.간식 제공하고⁣있지요 지난 주 간식 쑥설기도👍⁣⁣어린이집에 새로이 설치된⁣식기 세척기는👍👍⁣매일매일 고압.살균세척으로 우리 ⁣친구들의 도시락을 지켜 주어요😊⁣엄마들의 환호성이 들리시나요❤⁣⁣어린이통학차량 정기검사 통과🚍⁣안전한 차량운행은 기본!⁣점검결과 이상무!!⁣오늘도 #행복미소어린이집 은⁣하하호호 웃음 가득 입니다🧡⁣⁣#내일은3월생일파티🥳⁣#친구들아 #기대해🤭⁣,"['21년새학기이야기', '바른먹거리', '행복미소어린이집', '내일은3월생일파티', '친구들아', '기대해']"
#스페셜데이🎊⁣⁣코로나19로 인해⁣특별활동도 외부견학도 못하는⁣이때!!! 더 즐겁게 보내는 방법⁣그 첫번째❤⁣⁣ㅡ습자지로 놀이해요ㅡ⁣얇디 얇은 습자지를 조물조물⁣~부스럭부스럭~ 탐색해 보고⁣쭉쭉 찢고 마음껏 구겨요높이높이 멀리멀리 던져도 보구요⁣하늘 높이 걸린 종이가 꼭 ⁣비밀의 숲 같아요😁⁣⁣남은 습자지는 꾹꾹 주물러⁣알록달록 구름을 표현해요☁️⁣칙칙 분무기로 구름  위에 뿌리면⁣우와~주룩주룩 색깔비가 내려요☔⁣하지만 우리 친구들은 튼튼한⁣우산을 써서 끄덕 없어요~~~⁣⁣#행복미소스페셜데이⁣#specail_day⁣#신나는하루💙 ⁣#안전한하루💜⁣#감사합니다🧡⁣,"['스페셜데이', '행복미소스페셜데이', 'specail', '신나는하루', '안전한하루', '감사합니다']"
"오수휴게소의 따끈한 ⚡️신제품⚡️대한민국 대표 여름 과일 중 하나, 경북 성주에서 유명한 참외 ◡̈〰️성주 꿀 “참외빵”을 판매 시작했어요! 성주 참외를 그대로 담아 참외향이 가득하고,달콤한 참외 앙금이 꽉 차있어요.☺️참외청은 수제청으로 참외차나 참외에이드도 가능하고,요리하실 때 당 대체 재료로도 사용하시면 감칠맛이 upup!참외잼은 꿀 같은 타입으로 달콤한 과육이 대박 👍🏻따끈한 식빵에 바르고, 우유와 함께 드시면 꿀 맛 -🤍딱 여름이 제철인 참외로 만든 상품드시러오수휴게소로 오세요 🙆🏻‍♀️🙆🏻‍♀️📍성주 꿀 참외빵 小 : 13,000원(6EA) / 大 : 22,000원 (12EA)📍성주 참외청 小 : 5,000원 / 大 : 17,000원📍성주 참외잼 小 : 5,000원 / 大 : 8,900원📍성주 참외잼(無설탕) 小 : 6,000원 / 大 : 10,000원",[]
예약자 몇명없길래 급하게 예약하고 갔는데 주말인데 사람없음 ㅎㅎ줄 단한번도 안서고 원하는건 다 가능했음.특히 인기많은 승무원은 단 둘이서만 체험 ㅋ#키자니아#마트매니저#경찰관#네일아티스트#피라미드체험#가나초콜렛#승무원#앱개발자#풀무원바른먹거리#한동안 안가겠지#,"['키자니아', '마트매니저', '경찰관', '네일아티스트', '피라미드체험', '가나초콜렛', '승무원', '앱개발자', '풀무원바른먹거리', '한동안']"
#행복미소시장놀이🛒⁣⁣왔어요왔어~~~~😁⁣행복미소 시장이 돌아 왔어요💜⁣소오중한 나만의 지갑 들고서⁣장바구니 들고 가봅니다🕺💃⁣⁣🍄🥦🥒🌶🥕🍏🍎🥭🍌⁣향기로운 냄새가 가득한 과일⁣튼튼해지는 채소.야채들⁣내가 좋아하는 과자❤⁣비눗방울과 물놀이 장난감⁣뽀득뽀득 내 손은 소중해👐⁣손 세정제까지 야무지게 장보고⁣돌아갑니다😊⁣⁣내년에 다시 만나요⁣안녕~~~~~⁣⁣#아파서함께하지못한아가들💙⁣#다음엔꼭함께해요❤️,"['행복미소시장놀이', '아파서함께하지못한아가들', '다음엔꼭함께해요']"
#물총놀이🔫⁣⁣꺄악~~~여름이다🌊🏖⁣비록 물놀이는 못하지만⁣물총놀이는 할 수 있어요!!⁣오전내내 ⁣어린이집 놀이터는 그늘!😎⁣바람도 불어주어 놀기 딱 좋아💙⁣⁣멋진 내 물총으로⁣빵야!빵야~~!!!⁣선생님과 함께 하는 물총놀이⁣정말 신나요~~~~😆😆⁣⁣물풍선 쪼물쪼물🎈🎈⁣신나게 던져도 보고⁣나무에  물도 주었어요💜⁣여름이 와도 우리 친구들은⁣건강하게 자란답니다😘⁣⁣#친구들아😁⁣#우리 #내일또할까_?💙⁣,"['물총놀이', '친구들아', '우리', '내일또할까']"
